Reservoir,Reservoir_type,Year,Cyanobacteria_Max_cells/ml,logCyanoMax_cells/ml,Chlorophyll_a_ug/l,Secchi_cm,TP_ppb,P_dissolved_ppb,TKN_ppm,NH3_ppm,NOx_ppm,TOC_ppm,Alkalinity_ppm,NH36to8inflow_ppm,TKN6to8inflow_ppm,NOx6to8inflow_ppm,TP6to8inflow_ppb,TOC6to8inflow_ppm,Summer_precip_inches,Summer_precip_Z-score,mayST_Celsius,junST_Celsius,julST_Celsius,augST_Celsius,mayDO_mg/l,junDO_mg/l,mayDT_Celsius,junDT_Celsius,julDT_Celsius,augDT_Celsius
BRR,2,2005,15301.7,4.185,na,54,na,na,na,na,na,na,na,na,na,na,na,na,20.39,1.737,20.69,26.69,29.42,29.46,5.43,0.26,13.33,15.67,16.5,17.43
BRR,2,2006,28953.2,4.462,na,51.5,45,na,0.685,na,0.043,3.9,62.8,na,0.522,0.728,100,2.2,12.99,-0.176,19.88,26.06,28.52,29.26,4.96,1.36,14.37,16.17,16.45,17.75
BRR,2,2007,34295.9,4.535,na,36,na,na,0.459,0.018,0.008,2.7,70,0.015,0.18,0.671,114.8,2.4,8.11,-1.437,22.92,27,28.24,29.94,2.97,1.11,14.9,16.24,17.06,18.27
BRR,2,2008,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10.51,-0.816,18.91,26.22,26.98,27.4,3.9,0.83,14.98,16.88,18.1,19
BRR,2,2009,na,na,na,60,89.4,na,0.843,0.051,1.218,7.13,75,0.03,0.434,3.408,189.8,6,17.61,1.019,20.58,26.66,27.23,27.27,4.4,0.41,15.39,18.48,20.18,21.04
BRR,2,2010,na,na,na,47,na,na,na,na,na,na,na,na,na,na,na,na,15.88,0.571,na,28.68,29.7,30.1,na,0.57,na,17.31,19.68,22.8
BRR,2,2011,167641.6,5.224,na,51,23.9,na,0.821,0.011,0.047,8.05,88.4,0,0.86,0.915,117.5,8.2,10.34,-0.86,na,na,na,29.87,na,na,na,na,na,21.29
BRR,2,2012,235323.1,5.372,na,53,11,na,0.73,0.183,na,2.82,87.9,na,na,na,na,na,12.74,-0.24,na,na,na,na,na,na,na,na,na,na
BRR,2,2013,4254997.5,6.629,18.96,48,17.4,na,na,0.048,0.055,4.04,90,0.11,na,2,28,3,14.58,0.235,na,na,27.81,na,na,na,na,na,20.15,na
BRR,2,2014,572033.1,5.757,na,49,11.9,na,1.6,0.07,0.005,3.8,na,0.084,0.8,0.108,25,2.2,15.53,0.481,na,na,na,28.03,na,na,na,na,na,na
BRR,2,2015,388149.5,5.589,8.29,59.7,13.3,na,0.88,0.122,0.013,3.52,86.4,0.186,0.8,1.181,67.3,2.4,19.19,1.427,na,26.4,na,28.18,na,0.39,na,15.16,na,23.16
BRR,2,2016,1029119,6.012,7.46,51,34.9,na,0.566,0.085,0.026,5.88,82.1,na,na,na,na,na,16.61,0.76,20.85,27.59,29.42,28.86,4.22,0.56,15.35,17.61,21.42,24.36
BRR,2,2017,3328178.8,6.522,14.15,42,53.9,18.6,0.605,0.091,0.028,5.59,66.5,na,na,na,na,na,13.86,0.049,23.3,26.15,29.85,28.25,3.24,0.57,17.82,20.99,22.7,23.85
BRR,2,2018,1240728,6.094,15.69,44,43.5,33.4,0.554,0.142,0.006,4.87,74.8,0.174,0.504,0.813,104,3.9,15.51,0.476,24.99,27.77,28.75,28.86,4.1,0.3,14.63,18.34,22.19,22.52
